title,publisher,link,type,relatedTickers
Here's Why 'Magnificent Seven' Stock Microsoft Is A Market Leader,Investor's Business Daily,https://finance.yahoo.com/m/46185ab1-b25c-39fb-bb69-fa632d607596/here%27s-why-%27magnificent.html,STORY,"['MSFT', '^DJI']"
"Nvidia Unleashes Barrage Of AI Enhancements, Storms New Buy Point",Investor's Business Daily,https://finance.yahoo.com/m/598ad422-781e-38bc-bfc9-771b83abea79/nvidia-unleashes-barrage-of.html,STORY,"['NVDA', 'MSFT', 'META', 'GOOG']"
Russia-Linked Hackers Claim Credit for OpenAI Outage This Week,Bloomberg,https://finance.yahoo.com/news/russia-linked-hackers-claim-credit-160842432.html,STORY,['MSFT']
"The Zacks Analyst Blog Highlights Microsoft, NIKE, BP, Hilton and W.W. Grainger",Zacks,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-microsoft-145900900.html,STORY,"['NKE', 'MSFT', 'BP', 'GWW']"
Microsoft Record Leads $1.5 Trillion Nasdaq Surge,Bloomberg,https://finance.yahoo.com/news/microsoft-record-leads-1-5-112628124.html,STORY,"['MSFT', 'AAPL']"
"The Zacks Analyst Blog Highlights NVIDIA, Synopsys, Meta, Broadcom and Microsoft",Zacks,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-nvidia-143900601.html,STORY,"['NVDA', 'META', 'AVGO', 'SNPS', 'MSFT']"
2 Under-the-Radar Tech Stocks To Buy in 2023,Motley Fool,https://finance.yahoo.com/m/61da8e61-c907-38e5-8796-efb1b7154a6e/2-under-the-radar-tech-stocks.html,STORY,"['PANW', 'META', 'AAPL', 'MSFT']"
Want to Add Artificial Intelligence (AI) Stocks to Your Portfolio? 3 Stocks to Buy,Motley Fool,https://finance.yahoo.com/m/4cae5175-a87c-32b5-8f1a-e08ee3b64877/want-to-add-artificial.html,STORY,"['MSFT', 'DOCN', 'AI', 'NVDA']"
"Amazon Allies With Meta For Shopping Via Instagram, Facebook",Bloomberg,https://finance.yahoo.com/news/amazon-facebook-partner-app-based-183102310.html,STORY,"['META', 'AMZN']"
Amazon makes an exciting addition that will benefit many Americans,TheStreet.com,https://finance.yahoo.com/m/b1dc988d-5b67-3c1a-9835-0e749d9643b6/amazon-makes-an-exciting.html,STORY,['AMZN']
"Coupang, Unlike Amazon, Is Headed in the Wrong Direction",TheStreet.com,https://finance.yahoo.com/m/7b3f9ad9-2fcc-32ea-ba30-6f37a7b22552/coupang%2C-unlike-amazon%2C-is.html,STORY,"['CPNG', 'AMZN']"
Amazon Slashes Healthcare Prices for Prime Members to Just $9 a Month — Is It Worth It?,GOBankingRates,https://finance.yahoo.com/news/amazon-slashes-healthcare-prices-prime-162918158.html,STORY,['AMZN']
Secret Santa Hacks: 6 Quality Gifts That Won't Break the Bank,Motley Fool,https://finance.yahoo.com/m/4a9810c8-2ef2-35ea-b0be-e9d10fa02f4e/secret-santa-hacks%3A-6-quality.html,STORY,['AMZN']
